siniestro_id,rol_victima,vehiculo_victima,sexo_victima,rango_etario,gravedad
lc-2019-0027748,,,masculino,entre 30 y 39,leve
lc-2019-0027769,,,femenino,entre 18 y 29,leve
lc-2019-0027969,,,masculino,,leve
lc-2019-0028124,,,femenino,,leve
lc-2019-0028203,,,masculino,entre 30 y 39,leve
lc-2019-0028228,,,masculino,entre 40 y 49,leve
lc-2019-0028228,,,masculino,entre 40 y 49,leve
lc-2019-0028384,,,masculino,entre 18 y 29,leve
lc-2019-0028499,,,masculino,entre 30 y 39,leve
lc-2019-0028597,,,masculino,entre 18 y 29,leve
lc-2019-0028635,,,,,leve
lc-2019-0028641,,,masculino,entre 30 y 39,leve
lc-2019-0028794,,,masculino,entre 30 y 39,leve
lc-2019-0030752,,,femenino,60 y mayores,leve
lc-2019-0033421,,,masculino,entre 18 y 29,leve
lc-2019-0028657,,,femenino,60 y mayores,leve
lc-2019-0028657,,,masculino,60 y mayores,leve
lc-2019-0028657,,,masculino,entre 30 y 39,leve
lc-2019-0028702,,,masculino,entre 18 y 29,leve
lc-2019-0028702,,,masculino,entre 18 y 29,leve
lc-2019-0028731,,,femenino,entre 30 y 39,leve
lc-2019-0304750,,,masculino,entre 50 y 59,leve
lc-2019-0028731,,,femenino,menos de 18,leve
lc-2019-0304750,,,masculino,entre 50 y 59,leve
lc-2019-0028796,,,masculino,entre 40 y 49,leve
lc-2019-0029010,,,masculino,entre 40 y 49,leve
lc-2019-0029065,,,femenino,,leve
lc-2019-0029065,,,femenino,,leve
lc-2019-0193078,,,femenino,60 y mayores,leve
lc-2019-0029336,,,masculino,60 y mayores,leve
lc-2019-0029346,,,masculino,entre 40 y 49,leve
lc-2019-0029347,,,masculino,60 y mayores,leve
lc-2019-0029367,,,,,leve
lc-2019-0029566,,,masculino,entre 30 y 39,leve
lc-2019-0030128,,,femenino,entre 18 y 29,leve
lc-2019-0030272,,,femenino,entre 50 y 59,leve
lc-2019-0030300,,,,,leve
lc-2019-0030352,,,masculino,entre 50 y 59,leve
lc-2019-0221536,,,femenino,,leve
lc-2019-0030566,,,masculino,60 y mayores,leve
lc-2019-0030574,,,femenino,,leve
lc-2019-0030658,,,femenino,entre 30 y 39,leve
lc-2019-0030786,,,femenino,entre 30 y 39,leve
lc-2019-0030792,,,masculino,entre 18 y 29,leve
lc-2019-0030793,,,masculino,,leve
lc-2019-0030858,,,,,leve
lc-2019-0028731,,,femenino,entre 30 y 39,leve
lc-2019-0035369,,,masculino,entre 40 y 49,leve
lc-2019-0031071,,,masculino,entre 40 y 49,leve
lc-2019-0031424,,,masculino,entre 18 y 29,leve
lc-2019-0031634,,,masculino,entre 40 y 49,leve
lc-2019-0031641,,,masculino,,leve
lc-2019-0032487,,,femenino,entre 40 y 49,leve
lc-2019-0032487,,,femenino,entre 40 y 49,leve
lc-2019-0032605,,,masculino,entre 40 y 49,leve
lc-2019-0032607,,,masculino,entre 50 y 59,leve
lc-2019-0032657,,,masculino,entre 18 y 29,leve
lc-2019-0032657,,,masculino,entre 18 y 29,leve
lc-2019-0032834,,,masculino,entre 30 y 39,leve
lc-2019-0032903,,,masculino,entre 18 y 29,leve
lc-2019-0033174,,,masculino,entre 18 y 29,leve
lc-2019-0033180,,,femenino,entre 18 y 29,leve
lc-2019-0033263,,,masculino,entre 30 y 39,leve
lc-2019-0033333,,,masculino,entre 30 y 39,leve
lc-2019-0033368,,,femenino,,leve
lc-2019-0033399,,,femenino,,leve
lc-2019-0033412,,,femenino,60 y mayores,leve
lc-2019-0033440,,,femenino,menos de 18,leve
lc-2019-0033459,,,masculino,entre 40 y 49,leve
lc-2019-0033489,,,masculino,entre 18 y 29,leve
lc-2019-0033593,,,masculino,entre 18 y 29,leve
lc-2019-0037717,,,femenino,entre 30 y 39,leve
lc-2019-0043540,,,femenino,,leve
lc-2019-0033646,,,femenino,,leve
lc-2019-0033821,,,femenino,,leve
lc-2019-0033845,,,masculino,entre 18 y 29,leve
lc-2019-0034229,,,masculino,,leve
lc-2019-0034229,,,masculino,,leve
lc-2019-0034229,,,masculino,,leve
lc-2019-0034229,,,masculino,,leve
lc-2019-0034601,,,masculino,60 y mayores,leve
lc-2019-0034601,,,masculino,60 y mayores,leve
lc-2019-0034710,,,femenino,entre 30 y 39,leve
lc-2019-0034889,,,masculino,60 y mayores,leve
lc-2019-0034914,,,,,leve
lc-2019-0034915,,,masculino,entre 30 y 39,leve
lc-2019-0034987,,,masculino,entre 40 y 49,leve
lc-2019-0035011,,,femenino,entre 18 y 29,leve
lc-2019-0035269,,,femenino,entre 40 y 49,leve
lc-2019-0035598,,,masculino,entre 18 y 29,leve
lc-2019-0035702,,,masculino,entre 40 y 49,leve
lc-2019-0035843,,,femenino,entre 40 y 49,leve
lc-2019-0035861,,,masculino,entre 18 y 29,leve
lc-2019-0035884,,,femenino,60 y mayores,leve
lc-2019-0035947,,,masculino,entre 40 y 49,leve
lc-2019-0036035,,,femenino,entre 18 y 29,leve
lc-2019-0036051,,,femenino,entre 30 y 39,leve
lc-2019-0036157,,,masculino,entre 30 y 39,leve
lc-2019-0036172,,,femenino,entre 18 y 29,leve
lc-2019-0036233,,,femenino,,leve
lc-2019-0036257,,,femenino,,leve
lc-2019-0045960,,,femenino,60 y mayores,leve
lc-2019-0033624,,,masculino,entre 18 y 29,leve
lc-2019-0036239,,,masculino,entre 18 y 29,leve
lc-2019-0036324,,,masculino,entre 18 y 29,leve
lc-2019-0036508,,,masculino,entre 30 y 39,leve
lc-2019-0036547,,,masculino,,leve
lc-2019-0036547,,,masculino,,leve
lc-2019-0036762,,,femenino,entre 18 y 29,leve
lc-2019-0037490,,,masculino,entre 40 y 49,leve
lc-2019-0037547,,,femenino,entre 40 y 49,leve
lc-2019-0037563,,,femenino,60 y mayores,leve
lc-2019-0037776,,,masculino,entre 30 y 39,leve
lc-2019-0037791,,,femenino,60 y mayores,leve
lc-2019-0037893,,,femenino,entre 18 y 29,leve
lc-2019-0037893,,,femenino,entre 18 y 29,leve
lc-2019-0037893,,,femenino,menos de 18,leve
lc-2019-0037898,,,masculino,entre 50 y 59,leve
lc-2019-0037918,,,masculino,,leve
lc-2019-0037939,,,,,leve
lc-2019-0037956,,,masculino,entre 30 y 39,leve
lc-2019-0037956,,,masculino,entre 30 y 39,leve
lc-2019-0037998,,,masculino,entre 18 y 29,leve
lc-2019-0038196,,,,,leve
lc-2019-0038545,,,masculino,entre 30 y 39,leve
lc-2019-0038664,,,masculino,60 y mayores,leve
lc-2019-0038880,,,femenino,entre 30 y 39,leve
lc-2019-0038880,,,masculino,entre 30 y 39,leve
lc-2019-0038915,,,femenino,,leve
lc-2019-0039050,,,femenino,,leve
lc-2019-0039169,,,femenino,entre 30 y 39,leve
lc-2019-0039296,,,masculino,entre 40 y 49,leve
lc-2019-0039419,,,masculino,entre 30 y 39,leve
lc-2019-0039494,,,femenino,,leve
lc-2019-0040008,,,masculino,,leve
lc-2019-0040436,,,masculino,entre 40 y 49,leve
lc-2019-0052190,,,femenino,,leve
lc-2019-0054502,,,masculino,entre 30 y 39,leve
lc-2019-0081956,,,masculino,entre 40 y 49,leve
lc-2019-0039446,,,femenino,menos de 18,leve
