siniestro_id,rol_victima,vehiculo_victima,sexo_victima,rango_etario,gravedad
2018-0120,peaton,peaton,femenino,entre 50 y 59,fatal
2018-0121,peaton,peaton,femenino,60 y mayores,fatal
2018-0122,conductor,auto,masculino,entre 30 y 39,fatal
2018-0123,conductor,auto,masculino,entre 18 y 29,fatal
2018-0124,conductor,cargas,masculino,entre 40 y 49,fatal
2018-0125,peaton,peaton,masculino,entre 30 y 39,fatal
2018-0126,conductor,moto,masculino,entre 18 y 29,fatal
2018-0127,conductor,moto,masculino,entre 30 y 39,fatal
2018-0128,pasajero_acompañante,auto,masculino,entre 50 y 59,fatal
2018-0128,pasajero_acompañante,auto,femenino,entre 40 y 49,fatal
2018-0129,conductor,moto,masculino,entre 30 y 39,fatal
2018-0130,conductor,moto,masculino,,fatal
2018-0131,conductor,moto,masculino,entre 30 y 39,fatal
2018-0132,peaton,peaton,masculino,60 y mayores,fatal
2018-0133,peaton,peaton,femenino,60 y mayores,fatal
2018-0134,peaton,peaton,masculino,entre 50 y 59,fatal
2018-0135,peaton,peaton,masculino,60 y mayores,fatal
2018-0136,peaton,peaton,femenino,60 y mayores,fatal
2018-0137,pasajero_acompañante,moto,masculino,entre 30 y 39,fatal
2018-0138,pasajero_acompañante,pasajeros,femenino,60 y mayores,fatal
2018-0139,pasajero_acompañante,moto,masculino,entre 18 y 29,fatal
2018-0140,conductor,auto,masculino,60 y mayores,fatal
2018-0141,peaton,peaton,masculino,60 y mayores,fatal
2018-0142,pasajero_acompañante,cargas,masculino,entre 30 y 39,fatal
2018-0143,conductor,moto,masculino,entre 18 y 29,fatal
2019-0001,conductor,moto,masculino,entre 18 y 29,fatal
2019-0002,conductor,auto,masculino,entre 30 y 39,fatal
2019-0003,conductor,moto,masculino,entre 18 y 29,fatal
2019-0004,conductor,auto,masculino,60 y mayores,fatal
2019-0005,conductor,moto,masculino,entre 40 y 49,fatal
2019-0006,peaton,peaton,femenino,menos de 18,fatal
2019-0007,conductor,moto,masculino,entre 30 y 39,fatal
2019-0008,conductor,moto,masculino,entre 40 y 49,fatal
2019-0009,conductor,moto,masculino,entre 30 y 39,fatal
2019-0010,peaton,peaton,masculino,,fatal
2019-0010,peaton,peaton,masculino,60 y mayores,fatal
2019-0011,peaton,peaton,masculino,,fatal
2019-0012,conductor,moto,masculino,entre 30 y 39,fatal
2019-0013,peaton,peaton,masculino,entre 40 y 49,fatal
2019-0014,conductor,moto,masculino,60 y mayores,fatal
2019-0015,conductor,auto,masculino,entre 18 y 29,fatal
2019-0016,conductor,moto,masculino,entre 40 y 49,fatal
2019-0017,conductor,auto,masculino,entre 18 y 29,fatal
2019-0018,peaton,peaton,femenino,entre 30 y 39,fatal
2019-0019,conductor,moto,masculino,,fatal
2019-0020,conductor,moto,masculino,entre 40 y 49,fatal
2019-0021,conductor,moto,masculino,entre 18 y 29,fatal
2019-0022,pasajero_acompañante,auto,masculino,,fatal
2019-0023,conductor,auto,masculino,entre 30 y 39,fatal
2019-0024,conductor,moto,masculino,entre 30 y 39,fatal
